1746,31,97,66,91,89
3307,100,15,5,92,40
2671,32,12,17,90,40
2163,70,72,31,19,75
2326,42,85,99,28,9
2752,73,46,17,87,53
1249,31,93,37,75,79
1578,85,85,83,14,44
2140,30,80,1,34,72
3270,87,22,45,36,62
2913,40,1,70,14,70
1377,53,13,68,64,35
1626,45,52,85,7,21
1476,68,85,70,70,39
1767,54,62,58,8,71
2448,85,13,74,61,20
2803,35,36,30,64,25
1951,58,42,45,18,53
2152,89,27,64,98,4
2954,48,93,100,55,15
2198,95,49,57,99,26
1188,14,66,77,30,77
2527,13,5,50,96,23
1853,37,12,11,17,59
3117,45,19,95,77,52
2754,78,14,65,26,89
3121,11,91,72,45,90
1062,48,17,24,2,39
2506,24,94,62,87,10
3452,80,4,5,59,10
3238,35,29,93,46,82
3313,81,59,81,11,42
2748,79,3,64,20,94
1215,83,13,54,95,91
2725,36,37,53,66,26
1309,94,9,75,80,29
1720,30,12,11,20,19
1994,49,61,26,73,64
2259,7,58,37,89,56
2389,21,33,84,27,57
1503,1,16,60,30,35
2338,56,78,50,50,94
1978,97,73,4,1,17
1357,26,18,76,51,61
2876,88,17,98,25,69
3486,43,26,77,100,0
1785,63,37,100,80,70
1504,1,35,19,15,32
2388,39,76,17,67,17
3412,78,31,0,73,43
2312,69,67,62,19,77
2558,26,53,1,61,19
1631,76,94,3,85,33
3280,68,64,10,90,39
2041,39,84,7,21,25
2238,58,56,60,78,14
1550,64,21,100,16,23
1836,76,68,82,48,38
2925,9,81,63,24,71
2381,65,76,23,64,64
3313,62,79,25,77,84
2573,28,96,79,75,42
1748,5,78,53,12,13
3277,21,3,37,6,9
1140,88,27,61,49,41
3567,88,73,60,86,70
1592,90,31,39,56,90
2500,32,75,86,44,53
1288,75,59,43,22,11
1159,6,22,37,46,55
3281,95,66,13,72,28
2294,23,42,99,62,0
1451,20,80,83,81,98
1167,88,46,93,71,72
3308,10,32,83,1,43
3326,16,4,20,85,75
3095,32,66,27,82,49
1772,43,31,84,87,57
1398,18,79,10,34,90
3142,63,19,77,10,92
3096,66,10,56,98,86
1134,93,73,96,80,24
1449,2,10,78,77,83
2866,18,85,16,22,95
1463,90,0,18,8,81
2107,52,9,29,9,3
2825,26,1,38,64,41
1388,17,97,85,1,24
2360,18,34,77,64,96
1941,74,78,17,80,8
2362,87,48,88,26,98
1001,54,26,13,99,19
3564,64,91,12,12,89
1433,0,15,50,81,37
1323,93,15,9,7,64
2397,30,94,42,76,0
2159,4,32,20,60,86
2608,73,13,15,35,35
2356,14,100,81,21,46
1410,48,79,24,39,96
3151,45,70,67,99,1
1249,49,50,34,61,32
2697,11,48,33,74,61
1323,27,36,17,33,86
1438,96,40,84,9,92
2387,22,81,53,26,98
3379,100,83,24,43,94
3116,3,26,77,30,19
1428,41,14,68,94,5
3584,87,43,30,86,77
1609,56,83,85,67,58
2169,63,83,58,3,91
2126,94,11,83,23,21
2885,92,24,58,21,82
1964,94,21,64,0,64
1992,19,15,56,11,73
3342,18,21,9,97,20
1222,36,21,10,35,93
2492,94,47,55,92,13
3166,25,43,1,95,71
2696,21,45,93,77,75
2279,47,3,63,5,22
2405,35,43,91,54,85
1109,98,84,91,34,82
2113,24,55,37,42,85
1544,79,59,81,93,80
2907,27,31,60,33,49
1530,62,39,1,15,77
3313,24,51,38,72,87
3362,12,60,44,26,28
1304,40,43,89,96,45
2319,9,22,7,69,9
1140,77,76,4,58,32
1412,83,70,38,1,32
3297,95,47,74,39,38
1595,98,67,83,92,71
2746,94,32,8,40,11
2832,66,49,8,93,20
1237,53,16,70,99,97
2694,18,93,3,87,77
1179,90,36,20,57,83
1189,25,52,37,48,47
2291,52,17,53,23,51
2654,53,88,25,84,45
3138,88,81,51,9,28
1422,83,83,45,10,50
2035,18,93,4,50,93
2048,9,3,31,53,71
1807,67,32,99,100,59
2236,80,64,4,8,2
1864,51,49,29,88,84
1757,82,89,35,77,31
2218,20,65,94,43,49
3149,5,78,15,38,12
3506,30,95,63,82,32
2923,42,66,87,67,20
2469,6,26,42,5,52
1179,31,91,40,30,17
2735,91,77,78,7,83
3544,95,17,91,27,43
3223,80,46,56,0,24
2211,30,19,26,72,48
3371,16,61,70,10,84
1170,57,78,23,66,54
2706,3,46,63,31,40
1577,18,30,38,39,9
1259,16,48,51,73,10
2083,84,83,49,68,90
1743,93,80,58,14,51
2678,81,92,43,13,93
2528,24,78,66,82,66
2412,57,29,24,73,7
3576,74,62,85,95,49
3051,82,68,62,40,88
1584,57,34,90,41,32
2511,28,66,12,60,21
1195,26,24,24,77,56
1400,15,26,37,6,44
1022,6,9,9,67,23
3423,58,28,26,5,8
2181,13,54,90,8,78
2779,69,50,56,60,4
2235,10,20,26,79,58
3371,74,29,90,38,90
1212,6,30,40,16,44
2442,73,47,71,10,15
3389,82,99,97,33,100
1103,0,84,73,14,43
1721,52,29,80,92,24
2395,66,84,97,7,34
2772,34,47,94,89,52
1642,15,6,91,62,32
1503,88,31,86,93,50
3425,98,48,84,58,14
1224,29,73,6,24,16
1493,86,37,89,39,81
1081,67,29,51,9,39
3132,2,23,17,6,21
1048,62,54,83,16,4
3446,51,50,54,45,79
2531,5,50,8,52,58
2501,27,75,70,20,6
2506,24,29,50,94,45
2734,96,92,86,4,32
3361,88,83,46,7,0
